ticker,date,c_x,change,v,h_y,v_y,oneminvol_y,stddev,count,day_ratio_15,lo_breakout,Predictions_change3
AA,2021-04-20,32.98,-0.2220372,11140616,0,1,0,3791.228,72919,4,0,
AA,2021-04-22,33.21,0.20431991,5500292,0,0,0,2052.5728,40834,7,59,
AA,2021-04-23,34.71,4.968383,4912439,2,0,3,2249.2815,35913,7,60,
AA,2021-04-26,36.8,6.7703834,7815080,251,2,0,2339.6948,56950,7,62,
AA,2021-04-27,36.75,2.4456522,5954342,252,0,5,3476.2185,40320,7,65,
AA,2021-04-28,36.49,0.5986394,3565036,0,0,0,4621.4414,26553,6,10,
AA,2021-04-29,37.17,2.7678816,4967018,1,1,0,3115.0383,36394,6,10,
AA,2021-04-30,36.64,2.4213076,6370874,252,3,1,7071.8223,41070,6,15,0.4788046479225158
AA,2021-05-03,37.61,3.8755457,4750167,0,0,0,1929.0565,33897,6,13,0.4660485684871673
AA,2021-05-04,39.07,4.4137197,6818444,252,5,1,1850.498,52040,6,11,0.476908802986145
AA,2021-05-05,40.6,4.6327105,7773673,252,6,12,5041.758,54727,6,9,0.4677658081054687
AA,2021-05-06,39.89,2.0689654,7308031,252,0,0,2763.991,52590,6,9,0.459397405385971
AA,2021-05-07,41.2,3.735272,4909460,0,0,0,2054.7234,40066,6,3,0.4640702605247497
AA,2021-05-10,41.04,7.815534,11834217,251,15,31,3161.1729,81220,6,15,0.4739019572734833
AA,2021-05-11,41.32,2.7046783,9246082,0,0,0,3737.2954,71802,6,15,0.4542478024959564
AA,2021-05-12,39.51,2.2265246,8371905,1,0,0,3315.4507,67918,6,15,0.4653452634811401
AA,2021-05-13,39.13,3.695267,6579419,0,0,0,1845.1272,56820,5,14,0.4705731570720672
AA,2021-05-14,39.7,2.1722465,4798254,0,0,1,2170.6777,35754,5,12,0.475897341966629
AA,2021-05-17,40.68,2.5188916,4828406,1,1,0,1883.5197,43037,5,12,0.4790214300155639
AA,2021-05-18,39.84,2.4827926,5759486,3,2,3,1581.8809,48116,5,12,0.4785642623901367
AA,2021-05-19,36.17,-3.689759,15916642,0,22,5,2434.5088,103491,5,4,0.4781737625598907
AA,2021-05-20,35.82,0.5252972,7220849,0,0,0,1992.7609,57855,5,4,0.4719580709934234
AA,2021-05-21,36.14,3.4896705,7042986,1,0,1,4569.2593,41579,5,11,0.4802195429801941
AA,2021-05-24,36.5,1.7985611,5518697,0,0,0,1450.9197,37419,5,11,0.4777392745018005
AA,2021-05-25,35.15,1.1780822,5941039,1,1,1,2014.3884,49103,6,12,0.4825109243392944
